molecule_chembl_id,canonical_smiles,pIC50,bioactivity,Number of H donors,Number of H Acceptors,LogP,molecular mass,Ro5violations,Ro5Rule,PSA,numrotbonds,Verber Rule P or F,QED
CHEMBL3309953,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CCC/C1=C\c1ccc(N2CCCC2)cc1,4.265040238727555,inactive,0,3,6.107000000000007,412.57700000000017,1,Pass,23.550000000000004,4,pass,0.5663987195906887
CHEMBL3309954,O=C1/C(=C/c2ccc(N3CCCC3)cc2)COC/C1=C\c1ccc(N2CCCC2)cc1,4.0,inactive,0,4,4.953300000000005,414.54900000000015,0,Pass,32.78,4,pass,0.6627375635471499
CHEMBL3309955,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CNC/C1=C\c1ccc(N2CCCC2)cc1,4.0,inactive,1,4,4.5263000000000035,413.56500000000017,0,Pass,35.580000000000005,4,pass,0.747511705128125
CHEMBL3309956,CN1C/C(=C\c2ccc(N3CCCC3)cc2)C(=O)/C(=C/c2ccc(N3CCCC3)cc2)C1,4.0,inactive,0,4,4.868500000000005,427.5920000000002,0,Pass,26.79,4,pass,0.6507824795988933
CHEMBL3309957,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CN(Cc2ccccc2)C/C1=C\c1ccc(N2CCCC2)cc1,4.2424521465307565,inactive,0,4,6.438900000000007,503.6900000000003,2,Fail,26.790000000000006,6,pass,0.36188291536270495
CHEMBL3290192,O=C(/C=C/c1ccc(N2CCCC2)cc1)/C=C/c1ccc(N2CCCC2)cc1,4.15602015552184,inactive,0,3,5.182700000000005,372.51200000000017,1,Pass,23.550000000000004,6,pass,0.6526713721883347
CHEMBL3290193,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CC/C1=C\c1ccc(N2CCCC2)cc1,4.335170058856909,inactive,0,3,5.716900000000006,398.5500000000002,1,Pass,23.550000000000004,4,pass,0.6158032589161554
CHEMBL3290194,O=C1/C(=C/c2ccc(N3CCCC3)cc2)Cc2ccccc21,4.262489309326524,inactive,0,2,4.109200000000003,289.378,0,Pass,20.310000000000002,2,pass,0.7754681319332534
CHEMBL3290195,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CCc2ccccc21,4.0,inactive,0,2,4.499300000000004,303.405,0,Pass,20.310000000000002,2,pass,0.7613767114145173
CHEMBL3290196,O=C(/C=C/c1ccc(N2CCCC2)cc1)C1CCc2ccccc2C1=O,4.213035740564267,inactive,0,3,4.314400000000004,345.442,0,Pass,37.38,4,pass,0.6118403941929702
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.0,inactive,3,6,3.852600000000003,368.3850000000001,0,Pass,96.22000000000001,7,pass,0.3902000628145299
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,5.489454989793388,intermediate,1,4,3.9273200000000026,357.793,0,Pass,68.53,4,pass,0.7678065120522066
